epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.979,0.352,0.54609,0.98997,0.90097,0.91582,0.95438,0.80653,0.53718,0.77752,1.231,0.000848969,0.000848969,0.000848969
43,70.5439,0.36592,0.57611,1.00324,0.71239,0.94326,0.93057,0.77015,0.60902,1.10229,1.29035,0.000834822,0.000834822,0.000834822
44,72.1419,0.32853,0.49824,0.97294,0.88295,0.84506,0.91691,0.76385,0.52203,1.03557,1.20869,0.000820675,0.000820675,0.000820675
45,73.6819,0.34044,0.49828,1.00065,0.97747,0.90697,0.96783,0.80975,0.48435,0.80161,1.16383,0.000806528,0.000806528,0.000806528
46,75.2419,0.32914,0.53619,0.97684,0.89212,0.8756,0.93455,0.80497,0.52424,0.75225,1.18658,0.00079238,0.00079238,0.00079238
47,76.8169,0.33642,0.48786,0.98474,0.84879,0.84786,0.91026,0.75646,0.55829,0.86304,1.17346,0.000778233,0.000778233,0.000778233
48,78.3951,0.34963,0.48383,0.98635,0.8415,0.85355,0.8967,0.78723,0.48922,0.72064,1.16948,0.000764086,0.000764086,0.000764086
49,79.9999,0.3334,0.48911,0.9868,0.82566,0.88981,0.90819,0.80977,0.50819,0.68269,1.21502,0.000749939,0.000749939,0.000749939
50,81.5549,0.32943,0.48279,0.98536,0.82693,0.86377,0.89857,0.79733,0.52358,0.69175,1.2066,0.000735792,0.000735792,0.000735792
51,83.0798,0.32964,0.50337,0.99143,0.83806,0.91162,0.93224,0.81175,0.51852,0.69749,1.1698,0.000721645,0.000721645,0.000721645
52,84.611,0.31394,0.46693,0.96842,0.70619,0.90801,0.88349,0.75617,0.53376,1.0406,1.18046,0.000707498,0.000707498,0.000707498
53,86.1399,0.33314,0.49809,0.98942,0.71647,0.90967,0.78396,0.64672,0.49376,1.23826,1.09418,0.000693351,0.000693351,0.000693351
54,87.666,0.33438,0.46291,1.00263,0.94712,0.94192,0.95895,0.80564,0.53821,0.79115,1.16633,0.000679204,0.000679204,0.000679204
55,89.1689,0.30515,0.46549,0.96579,0.98098,0.95052,0.99038,0.86273,0.47697,0.65751,1.05366,0.000665057,0.000665057,0.000665057
56,90.7021,0.29207,0.44087,0.96771,0.90156,0.87671,0.94018,0.8175,0.47785,0.64972,1.13089,0.000650909,0.000650909,0.000650909
57,92.2709,0.30046,0.42579,0.964,0.89698,0.92566,0.97798,0.85928,0.47367,0.58837,1.11943,0.000636762,0.000636762,0.000636762
58,93.7979,0.30274,0.47993,0.98065,0.88823,0.92126,0.96753,0.8514,0.50537,0.58429,1.1681,0.000622615,0.000622615,0.000622615
59,95.3009,0.30703,0.47408,0.95932,0.92397,0.96857,0.96299,0.86154,0.44963,0.49176,1.10606,0.000608468,0.000608468,0.000608468
60,96.881,0.34576,0.45369,1.00578,0.90394,0.872,0.89855,0.81219,0.44825,0.7066,0.98487,0.000594321,0.000594321,0.000594321
61,98.3859,0.30356,0.47365,0.96851,0.86204,0.86629,0.85191,0.75431,0.44824,0.71334,1.00422,0.000580174,0.000580174,0.000580174
62,99.8984,0.33939,0.48366,0.97083,0.8666,0.91825,0.92053,0.80057,0.49111,0.6573,1.06974,0.000566027,0.000566027,0.000566027
63,101.419,0.29335,0.41256,0.96083,0.88933,0.91762,0.92516,0.79564,0.55423,0.67862,1.14437,0.00055188,0.00055188,0.00055188
64,102.945,0.31328,0.4387,0.98212,0.94272,0.9697,0.95161,0.86154,0.489,0.48255,1.12091,0.000537733,0.000537733,0.000537733
65,104.46,0.28807,0.40138,0.97127,0.94172,0.96642,0.95433,0.88092,0.44568,0.44611,1.0625,0.000523586,0.000523586,0.000523586
66,106.004,0.28631,0.38077,0.9694,0.89511,0.94149,0.94005,0.85293,0.43406,0.43686,1.03099,0.000509438,0.000509438,0.000509438
67,107.53,0.29813,0.38368,0.97533,0.92845,0.9697,0.95414,0.83402,0.43338,0.45973,1.02819,0.000495291,0.000495291,0.000495291
68,109.07,0.27159,0.39019,0.94467,0.9291,0.9697,0.96277,0.85692,0.44137,0.46825,1.06555,0.000481144,0.000481144,0.000481144
69,110.575,0.29897,0.39849,0.95915,0.95969,1,0.99417,0.85987,0.46151,0.47934,1.04935,0.000466997,0.000466997,0.000466997
70,112.115,0.2825,0.3833,0.97128,0.94163,1,0.9925,0.89743,0.3966,0.42147,0.95466,0.00045285,0.00045285,0.00045285
71,113.619,0.27055,0.37617,0.96417,0.88388,0.94192,0.93477,0.87232,0.41761,0.44307,1.01532,0.000438703,0.000438703,0.000438703
72,115.131,0.27402,0.35496,0.94957,0.87893,0.91162,0.92428,0.84417,0.46855,0.45184,1.07544,0.000424556,0.000424556,0.000424556
73,116.647,0.28862,0.38632,0.95658,0.91279,0.88131,0.94939,0.86114,0.42923,0.45448,1.01254,0.000410409,0.000410409,0.000410409
74,118.187,0.28625,0.36697,0.94278,0.88939,0.8983,0.93335,0.8505,0.43477,0.47037,1.01662,0.000396262,0.000396262,0.000396262
75,119.704,0.30132,0.3915,0.96975,0.95335,0.90258,0.97182,0.86337,0.43531,0.44973,1.05629,0.000382115,0.000382115,0.000382115
76,121.299,0.26968,0.37402,0.94017,0.91123,0.93425,0.94523,0.8558,0.45573,0.41487,1.11462,0.000367967,0.000367967,0.000367967
77,122.815,0.25579,0.35413,0.92303,0.93642,0.9001,0.9422,0.85338,0.47176,0.41837,1.17136,0.00035382,0.00035382,0.00035382
78,124.359,0.24785,0.34757,0.91563,0.91036,0.9403,0.93833,0.84722,0.45973,0.39521,1.19566,0.000339673,0.000339673,0.000339673
79,125.886,0.26915,0.35979,0.94101,0.8956,0.92438,0.93489,0.85072,0.46089,0.40834,1.19832,0.000325526,0.000325526,0.000325526
80,127.445,0.26616,0.35083,0.95262,0.84895,0.93724,0.92001,0.82628,0.49528,0.4289,1.22661,0.000311379,0.000311379,0.000311379
81,128.986,0.26169,0.35767,0.93869,0.86013,0.89692,0.9087,0.81105,0.50765,0.46775,1.19884,0.000297232,0.000297232,0.000297232
82,130.526,0.2858,0.3742,0.95413,0.83235,0.92438,0.9226,0.84342,0.40086,0.45096,0.92921,0.000283085,0.000283085,0.000283085
83,132.063,0.27082,0.35367,0.93316,0.892,0.95032,0.94716,0.8741,0.35384,0.41009,0.88019,0.000268938,0.000268938,0.000268938
84,133.594,0.26545,0.33948,0.95593,0.92537,0.95045,0.95513,0.86979,0.34386,0.42556,0.88465,0.000254791,0.000254791,0.000254791
85,135.118,0.22596,0.32797,0.93276,0.9161,0.95858,0.95664,0.86693,0.34595,0.42951,0.89289,0.000240644,0.000240644,0.000240644
86,136.645,0.22623,0.31831,0.93477,0.94655,0.9697,0.95922,0.86528,0.36138,0.41572,0.89699,0.000226497,0.000226497,0.000226497
87,138.169,0.23376,0.31383,0.93246,0.92501,0.95963,0.95242,0.88851,0.34835,0.38692,0.88117,0.000212349,0.000212349,0.000212349
88,139.698,0.24053,0.32617,0.9158,0.92134,0.96566,0.95235,0.8881,0.34736,0.37426,0.89171,0.000198202,0.000198202,0.000198202
89,141.21,0.25832,0.32278,0.93432,0.9533,0.93047,0.9548,0.89106,0.3442,0.37771,0.8987,0.000184055,0.000184055,0.000184055
90,142.729,0.25209,0.34197,0.95636,0.95911,0.94759,0.95198,0.88439,0.37558,0.37688,0.92483,0.000169908,0.000169908,0.000169908
91,160.272,0.22977,0.73984,0.95503,0.95837,0.9697,0.95717,0.88395,0.3995,0.38671,0.9553,0.000155761,0.000155761,0.000155761
92,161.838,0.22162,0.5306,0.95279,0.95466,0.96696,0.95697,0.8825,0.43763,0.40319,1.01568,0.000141614,0.000141614,0.000141614
93,163.346,0.1943,0.43409,0.91503,0.97365,0.99699,0.995,0.86519,0.46519,0.4164,1.07136,0.000127467,0.000127467,0.000127467
94,164.87,0.1964,0.42454,0.89939,0.93066,0.96707,0.95697,0.85334,0.48636,0.45353,1.16352,0.00011332,0.00011332,0.00011332
95,166.388,0.20815,0.40625,0.91987,0.94192,0.95108,0.9488,0.86909,0.48053,0.46401,1.19234,9.91726e-05,9.91726e-05,9.91726e-05
96,167.908,0.18869,0.37737,0.91904,0.92086,0.93811,0.93919,0.8505,0.468,0.47259,1.20591,8.50255e-05,8.50255e-05,8.50255e-05
97,169.422,0.19177,0.37021,0.92422,0.92081,0.93805,0.95123,0.86255,0.46654,0.45918,1.20997,7.08784e-05,7.08784e-05,7.08784e-05
98,170.944,0.17611,0.35013,0.91282,0.93061,0.93939,0.95526,0.87029,0.45382,0.45724,1.14932,5.67313e-05,5.67313e-05,5.67313e-05
99,172.485,0.1782,0.35814,0.88813,0.9367,0.93939,0.95529,0.87361,0.442,0.4571,1.10771,4.25842e-05,4.25842e-05,4.25842e-05
100,174.011,0.1849,0.3445,0.88616,0.93709,0.93939,0.95725,0.87735,0.42829,0.45509,1.07528,2.84371e-05,2.84371e-05,2.84371e-05
